log_id,mse,activity
BgJuXRAHLvQaqDysn2MAlQNdkz9p3UOAx8IgC2DMDedCfSrjsCt9zMFQXCqSbDH3PiM6CghnGSuFy378Tmg,4.595365670465223e-09,wrong
bKrJxj5siyI2luv2s6HaZUVgFSVfczmZQEHFuWJqQnY55b8tLDmUJsGsChfUsQF0mW4pCySVe50teA,2.9174220264746267e-09,wrong
bodlnRvN850mBLJa8jEE3hJ2TjCAkF4S1mOHMW1qC3QdKLAtFEzWYDEh6F1RL5A9RSCC020fe4F2vUOOODvjg,2.9594729205629693e-09,wrong
BQ9h7050y7usXnhYXF0rk5nto3LbKPIpNeMLCIc0u9lByplkW5aeTeC32iRP1YXl4Rteg7zbK7std7Zjaw,2.499917587088683e-09,wrong
btFiA6ZWXXH90uFuGoVHG0GxNwgFiwWgxbcuIGB44IlNySNRDicobfBwFJst00hH5dtapnfnI5pxHw,2.3732806925534212e-09,wrong
bXwp6I25oLkYEQZQWnhkgEZO9VEZOJa37PgZltbJo9D9cejH4pUS4fYYd286HrRKlEECgnUnjPKUQSm2dA,8.948657038543925e-07,wrong
C7APQ4nmmsMXRoIXuS0DKsK9ziVVU4rHxuiFSoolKatSaLkLO3JRkClCTbylLFOQyfKUg1d7h7q0LWuLK1Q,2.5751072857680773e-09,wrong
caPubE3KxOHXsOLSGy8WWsWgNhWl8Lmmt2gzMU1L8CZ6cQ6gphqKFQFlnEG1HgIQ5wnWzmaK79FzxwPQ60mlEw,3.2004945702013063e-09,wrong
cGd7yXMmPWOh7S4rP6zKjVkQ62hrQb0VN8Ne4zHaneV4UsP1Tm6foEklKS33NjWpb8tz6pObI9ckWRV4QA,2.737670230440733e-09,wrong
cH3TAPX4jOkeXrMiVc0gO095u6V8ujBYSRX05aT3GlJxCdZLZybqJqMrZkRq89RMkYz3245LjPfyrMIYRz6Q,3.7122024423947915e-09,wrong
CH9TDoh0wmFrbZr9o8jld3hy7jdnX8MUZoIXtjfrpjFE7x0aDBBf4ibn9x7rKyldLj9Eln59DRyXzwAA,2.7416898545570346e-09,wrong
choVDcFrqMlr6bTYC5GIXPwFWHi4RQ4dKHdo1UvddAidlpr0TZvyQUb6FYITqOVzAGpc2xOjtLbV59Jh4g,3.1057252113082396e-09,wrong
cIsrcyU1TOj6GL6DfI5W0h31knp9Hz7eMpUSupy0dZFqMhK7J5BJK6Gj76i1chShu2FYwRKF5IdJR6yBNJMw,2.0904190048756585e-09,wrong
ClLE0NZBXU2tIQzJwbTW5ONBlk4Z4ENlqMIVbg9xSJiVAR0rAQB94vRIyg0Mn19kORNEuCDpl95xYaxt7g,2.466867252336761e-09,wrong
clwds3xdC0DfzSUwjyTPmn9gbp2x9L29h3KPm5nxGBIPUbrhPpQ8RZlXhnj7dVh6hsNloOAoZiw4aKhXMWKQ,1.6330296155999102e-05,wrong
CmNChm2fJsCSe0OVtmLheJoUGPAz5oG0piNOrOBfZE1uz6wvpwyP2C1UOcOHwvpg1v0h0lrelnu6zk7KF9ugg,8.70489995007384e-09,wrong
COoI3fWkZb39b8wu2M1AYP9Dk2yX47ERC3fUSGuIow0Rw5GGzKBgFeSTwSZBdE09JMQgDDbnBh9bxHwzxA,2.964784141297792e-09,wrong
csu71SUSo83NYSsChwjkGq0WU591UkfBgpB0pYK2yQGTScZJiDD3WqP4N1JqT3D9FvS03zBOfdZNC4gp9HCw,1.690345165988257e-05,wrong
cUdmGXmAHu9BQZuWRpmuc22mPFurBh6GcobdLt7uy0iDE9AbdlKjLdtmDocvBaecSHu4FIm0TlfC0B39w,2.9070314584269824e-09,wrong
